id,euros
0,6.490396437000094
1,2.981163654411736
2,10.435252185512562
3,9.806494914226443
4,10.435252185512562
5,2.981163654411736
6,10.435252185512562
7,10.435252185512562
8,6.490396437000094
9,2.981163654411736
10,8.90156976370351
11,9.806494914226443
12,10.435252185512562
13,2.9037321212561906
14,6.490396437000094
15,6.490396437000094
16,2.981163654411736
17,9.806494914226443
18,2.9037321212561906
19,9.806494914226443
20,9.806494914226443
21,9.806494914226443
22,10.435252185512562
23,10.435252185512562
24,2.9037321212561906
25,6.490396437000094
26,2.9037321212561906
27,10.435252185512562
28,6.490396437000094
29,2.9037321212561906
30,10.435252185512562
31,8.90156976370351
32,10.435252185512562
33,2.981163654411736
34,2.981163654411736
35,8.90156976370351
36,10.435252185512562
37,10.435252185512562
38,6.490396437000094
39,8.90156976370351
40,9.806494914226443
41,2.981163654411736
42,10.435252185512562
43,6.490396437000094
44,9.806494914226443
45,2.981163654411736
46,2.9037321212561906
47,2.9037321212561906
48,2.9037321212561906
49,6.490396437000094
